Date,Open,High,Low,Close,Adj Close,Volume
2010-07-14,17.217142,17.714285,17.014286,17.571428,17.571428,13643700
2010-07-15,17.381428,17.464285,17.034286,17.301428,17.301428,15295700
2010-07-16,17.242857,17.282858,16.821428,16.912857,16.912857,14473200
2010-07-19,16.824286,17.161428,16.450001,16.985714,16.985714,13239100
2010-07-20,16.735714,17.271429,16.364286,17.198572,17.198572,17623900
2010-07-21,17.435715,17.657143,16.982857,17.092857,17.092857,33055400
2010-07-22,15.642858,16.067142,14.535714,14.794286,14.794286,95617900
2010-07-23,14.997143,15.535714,14.601429,15.385715,15.385715,33507600
2010-07-26,15.501429,15.570000,14.508572,14.684286,14.684286,32959500
2010-07-27,15.000000,15.065714,14.647142,14.870000,14.870000,22699600
2010-07-28,14.827143,14.908571,14.242857,14.330000,14.330000,34626900
2010-07-29,14.360000,14.450000,13.618571,14.002857,14.002857,35392700
2010-07-30,14.241428,14.740000,14.077143,14.650000,14.650000,30704800
2010-08-02,14.860000,15.000000,14.424286,14.554286,14.554286,24295600
2010-08-03,14.437143,14.961429,14.104285,14.915714,14.915714,30139200
2010-08-04,14.995714,15.500000,14.957143,15.447143,15.447143,24243100
2010-08-05,15.318571,15.814285,15.071428,15.790000,15.790000,24296300
2010-08-06,15.527143,16.964285,15.411428,16.902857,16.902857,48693400
2010-08-09,16.857143,16.992857,16.372858,16.700001,16.700001,21420000
2010-08-10,16.200001,18.068571,16.171429,17.858572,17.858572,90987400
2010-08-11,17.431429,18.345715,17.335714,18.067142,18.067142,71350300
2010-08-12,17.778572,19.114286,17.717142,19.007143,19.007143,71959300
2010-08-13,18.917143,19.195715,18.610001,18.894285,18.894285,47224800
2010-08-16,18.805714,19.700001,18.668571,19.602858,19.602858,42668500
2010-08-17,19.928572,20.128571,18.935715,18.995714,18.995714,59518900
2010-08-18,18.428572,18.592857,17.905714,17.957144,17.957144,59725400
2010-08-19,17.678572,18.538572,17.655714,18.320000,18.320000,46575900
