Date,Open,High,Low,Close,Adj Close,Volume
2010-07-14,73.040001,73.339996,72.349998,62.884815,73.339996,858900
2010-07-15,72.500000,72.500000,71.769997,62.078812,72.400002,683700
2010-07-16,71.889999,72.000000,70.000000,60.664036,70.750000,491200
2010-07-19,70.879997,71.500000,70.599998,61.067039,71.220001,465700
2010-07-20,70.099998,70.209999,69.470001,60.183876,70.190002,987600
2010-07-21,69.800003,70.000000,68.910004,59.309280,69.169998,884300
2010-07-22,70.459999,70.989998,70.250000,60.655457,70.739998,486300
2010-07-23,71.010002,71.720001,70.650002,61.144215,71.309998,1010800
2010-07-26,70.910004,71.889999,70.559998,60.792656,70.900002,664900
2010-07-27,70.459999,70.459999,69.769997,59.935211,69.900002,798100
2010-07-28,69.970001,70.099998,68.699997,59.832317,69.779999,863800
2010-07-29,70.440002,70.650002,69.809998,59.995232,69.970001,826200
2010-07-30,70.000000,70.360001,69.889999,60.218163,70.230003,897400
2010-08-02,71.459999,72.050003,71.349998,61.770149,72.040001,1470900
2010-08-03,72.709999,72.930000,72.050003,62.396072,72.769997,1090900
2010-08-04,73.750000,74.669998,73.269997,63.665077,74.250000,1936300
2010-08-05,72.300003,72.419998,71.919998,61.941624,72.239998,1235200
2010-08-06,72.639999,72.639999,71.800003,62.181713,72.519997,896400
2010-08-09,72.050003,72.220001,71.599998,61.795860,72.070000,784000
2010-08-10,71.680000,72.250000,71.160004,61.624378,71.870003,726700
2010-08-11,71.000000,71.000000,69.760002,59.866604,69.820000,850800
2010-08-12,70.000000,70.419998,69.830002,60.149567,70.150002,655400
2010-08-13,70.180000,70.320000,69.599998,59.909492,69.870003,397300
2010-08-16,69.989998,70.519997,69.849998,60.432529,70.480003,484300
2010-08-17,70.860001,70.930000,70.500000,60.578293,70.650002,409900
2010-08-18,70.769997,70.930000,70.570000,60.561157,70.629997,431900
2010-08-19,71.370003,71.930000,70.730003,61.101341,71.260002,728000
2010-08-20,70.339996,70.699997,69.989998,60.389664,70.430000,374700
2010-08-23,70.529999,70.690002,69.900002,59.986660,69.959999,336100
2010-08-24,69.739998,69.989998,69.199997,59.815174,69.760002,592100
2010-08-25,68.889999,69.160004,68.349998,59.214958,69.059998,719400
2010-08-26,69.050003,69.400002,68.449997,58.923420,68.720001,551000
2010-08-27,69.209999,69.459999,68.510002,59.472187,69.360001,418400
2010-08-30,68.739998,68.809998,68.250000,58.520424,68.250000,443100
2010-08-31,68.080002,68.449997,67.660004,58.168873,67.839996,525600
2010-09-01,68.250000,68.889999,68.000000,59.017750,68.830002,634700
2010-09-02,67.830002,68.220001,67.559998,58.494709,68.220001,605200
2010-09-03,69.410004,69.940002,69.120003,59.772293,69.709999,609700
2010-09-07,69.629997,69.809998,69.169998,59.369301,69.239998,343100
2010-09-08,69.029999,69.239998,68.849998,59.266411,69.120003,673300
2010-09-09,70.550003,70.779999,70.279999,60.621170,70.699997,1654600
2010-09-10,70.639999,70.800003,70.430000,60.535416,70.599998,856700
2010-09-13,70.500000,70.500000,69.970001,60.269611,70.290001,972200
